,x,y,z,CLUSTERS_DBSCAN_2d,CLUSTERS_DBSCAN_3d
150,208.992348,107.299049,16.089576,0,1
151,208.475117,105.681667,16.629101,0,1
152,206.982357,106.588955,16.464863,0,1
153,217.934402,107.365002,15.471807,0,1
154,220.262109,104.177091,16.4049,0,1
155,217.080246,105.549956,16.141175,0,1
156,218.583114,104.658031,16.343912,0,1
157,185.195094,91.104342,29.783699,0,0
158,188.611309,90.783318,28.191356,0,1
159,187.048536,91.481989,28.553137,0,1
160,189.363128,92.261883,26.875698,0,1
161,182.309212,98.129108,27.1996,0,1
162,182.751842,99.543454,26.296949,0,1
163,184.143753,98.492199,26.013476,0,1
164,181.089394,101.907101,26.047576,0,7
165,180.219209,103.393051,26.054137,0,7
166,178.670586,104.206886,26.661301,0,7
167,192.807505,86.921656,28.717899,0,-1
168,190.852303,88.8839,28.324326,0,-1
169,186.389511,93.955615,27.2493,0,1
170,187.97155,93.27985,26.893613,0,1
171,187.202046,95.161372,26.210937,0,1
172,184.836296,96.483827,26.143681,0,1
173,183.017279,96.136992,27.980069,0,1
174,181.26586,95.851813,29.1856,0,1
175,185.711337,97.762534,25.484355,0,1
176,185.700002,97.749911,24.9689,0,1
177,181.930625,103.644007,24.5681,0,7
178,182.877241,105.035804,23.793101,0,7
179,183.545004,106.521962,22.876943,0,7
180,183.547093,106.524053,22.794937,0,7
181,182.363049,107.782561,23.074381,0,7
182,184.425844,102.422579,24.025225,0,1
183,183.535223,101.093771,24.9886,0,1
184,185.120247,100.371952,24.541912,0,1
185,186.967751,100.782594,23.483575,0,1
186,186.484111,99.306163,24.284201,0,1
187,191.983902,98.041437,22.679725,0,1
188,191.493856,96.551508,23.459,0,1
189,189.843849,101.025398,22.129438,0,1
190,191.254799,100.013802,22.041313,0,1
191,188.657949,103.741073,21.5374,0,1
192,187.851724,102.102772,22.401899,0,1
193,187.289749,104.80365,21.695513,0,1
194,211.289253,73.321054,33.175713,0,-1
195,209.33696,72.774712,34.140924,0,-1
196,207.712269,73.250017,33.9949,0,-1
197,209.247924,75.060377,32.368336,0,-1
198,203.033147,82.032598,28.7129,0,-1
199,201.02005,83.870901,28.0724,0,-1
200,203.879543,83.220069,27.775512,0,1
201,200.008509,88.625798,25.326949,0,1
202,198.056626,88.079976,26.074987,0,1
203,199.512316,87.172538,25.678299,0,1
204,213.32869,77.384991,29.348801,0,1
205,211.324097,79.213967,28.675925,0,-1
206,214.187932,78.601078,28.449474,0,1
207,206.858498,89.307184,23.80475,0,1
208,204.392115,88.136685,24.633462,0,1
209,206.040011,87.627831,24.643,0,1
210,205.36235,90.198898,23.520438,0,1
211,205.52134,90.263998,23.176187,0,1
212,205.481415,90.322548,23.156063,0,1
213,205.423675,90.355838,23.146963,0,1
214,205.429836,90.35435,23.146963,0,1
215,205.34805,90.367601,23.1488,0,1
216,205.263673,90.366921,23.086201,0,1
217,205.279237,90.346195,23.162801,0,1
218,205.226291,90.306876,23.185375,0,1
219,217.211072,84.834188,24.736,0,1
220,215.713196,85.709988,24.515763,0,1
221,217.719849,86.404598,24.076688,0,1
222,216.390953,83.125202,25.697331,0,1
223,211.846001,81.6163,26.980301,0,1
224,212.733444,82.931301,26.235938,0,1
225,214.730247,83.60635,25.647175,0,1
226,212.580311,89.62156,23.012412,-1,-1
227,209.770912,89.764824,23.1658,0,1
228,210.283707,91.341351,22.498787,0,1
229,215.465805,89.117352,23.070238,0,1
230,218.6287,87.764851,23.329937,0,1
231,214.954888,87.543556,23.7222,0,1
232,216.966347,88.248798,23.2903,0,1
233,195.116444,97.482499,21.8494,-1,-1
234,195.115683,97.477917,21.5132,-1,-1
235,197.320953,99.4827,20.552557,0,1
236,195.682899,100.059349,20.68165,0,1
